primaryTitle,startYear,genres,averageRating,numVotes
Emily in Paris,2020.0,"Comedy,Drama,Romance",6.8,140177
Broadchurch,2013.0,"Crime,Drama,Mystery",8.3,139913
Barry,2018.0,"Action,Comedy,Crime",8.3,139699
Grimm,2011.0,"Action,Adventure,Crime",7.9,139175
Cosmos: A Spacetime Odyssey,2014.0,Documentary,9.2,139151
Penny Dreadful,2014.0,"Drama,Fantasy,Horror",8.2,138470
Black Bird,2022.0,"Biography,Crime,Drama",8.1,138334
Ahsoka,2023.0,"Action,Adventure,Fantasy",7.4,138135
30 Rock,2006.0,Comedy,8.3,137176
Top Gear,2002.0,"Adventure,Comedy,Sport",8.7,135597
Batman: The Animated Series,1992.0,"Action,Adventure,Animation",9.0,135193
Sharp Objects,2018.0,"Crime,Drama,Mystery",8.0,135110
Unbelievable,2019.0,"Crime,Drama",8.3,134811
Lie to Me,2009.0,"Crime,Drama,Mystery",8.0,134176
Supergirl,2015.0,"Action,Adventure,Drama",6.2,134145
The Newsroom,2012.0,Drama,8.6,133673
The Fall of the House of Usher,2023.0,"Drama,Horror,Mystery",7.9,132416
The Killing,2011.0,"Crime,Drama,Mystery",8.3,132367
The Office,2001.0,"Comedy,Drama",8.5,131330
The Fall,2013.0,"Crime,Drama,Thriller",8.1,130466
Adventure Time,2010.0,"Action,Adventure,Animation",8.6,130213
Ms. Marvel,2022.0,"Action,Adventure,Comedy",6.2,129965
Justified,2010.0,"Action,Crime,Drama",8.6,129139
Revenge,2011.0,"Drama,Mystery,Thriller",7.8,128895
The Leftovers,2014.0,"Drama,Fantasy,Mystery",8.3,127776
The Good Doctor,2017.0,Drama,8.0,127445
Deadwood,2004.0,"Crime,Drama,History",8.6,127193
Elementary,2012.0,"Action,Adventure,Crime",7.9,125708
The OA,2016.0,"Drama,Fantasy,Mystery",7.8,125612
Vinland Saga,2019.0,"Action,Adventure,Animation",8.8,125439
The Terminal List,2022.0,"Action,Drama,Thriller",7.9,125411
Dexter: Resurrection,2025.0,"Crime,Drama,Thriller",9.0,125300
Dhindora,2021.0,"Comedy,Drama",8.8,125279
The Defenders,2017.0,"Action,Adventure,Crime",7.2,124903
What We Do in the Shadows,2019.0,"Comedy,Fantasy,Horror",8.5,124697
The Day of the Jackal,2024.0,"Action,Crime,Drama",8.1,124660
Bates Motel,2013.0,"Drama,Horror,Mystery",8.1,124609
Black Sails,2014.0,"Action,Adventure,Drama",8.2,124259
Orphan Black,2013.0,"Drama,Sci-Fi,Thriller",8.3,123876
SpongeBob SquarePants,1999.0,"Animation,Comedy,Family",8.2,123712
Foundation,2021.0,"Drama,Sci-Fi",7.6,123667
Shadow and Bone,2021.0,"Action,Adventure,Drama",7.5,123611
The Night Manager,2016.0,"Crime,Drama,Mystery",8.0,122488
Good Omens,2019.0,"Comedy,Drama,Fantasy",8.0,122292
The Americans,2013.0,"Crime,Drama,Mystery",8.4,121904
Weeds,2005.0,"Comedy,Crime,Drama",7.9,121868
1899,2022.0,"Adventure,Drama,Thriller",7.3,121237
The Man in the High Castle,2015.0,"Drama,Sci-Fi,Thriller",7.9,120773
Cyberpunk: Edgerunners,2022.0,"Action,Adventure,Animation",8.3,119653
Psych,2006.0,"Comedy,Crime,Mystery",8.4,118982
The Rookie,2018.0,"Action,Crime,Drama",8.0,118803
Titans,2018.0,"Action,Adventure,Crime",7.4,118630
Under the Dome,2013.0,"Drama,Mystery,Sci-Fi",6.5,117921
Maid,2021.0,Drama,8.3,117799
Chilling Adventures of Sabrina,2018.0,"Drama,Fantasy,Horror",7.4,117691
